t sp li co sp.sd li.sd co.sd
3307 30 39.625 0.0448587764832973 3.27382783877661 4.75387830874529 0.00764169018650012
3317 30.2 39.975 0.0445142782729758 3.00597695199039 5.08636941699616 0.00749054930956453
3327 29.9 39.875 0.045506464296232 3.3420399113761 5.18967169555959 0.00832793731428367
3337 29.55 39.7 0.0459959003325814 2.62092174038653 5.02914582134061 0.00734026140920043
3347 29.9 38.975 0.0443454761845224 3.02807377209188 5.46075743783514 0.0084472433766011
3357 30.05 38.85 0.0437909518335706 2.88186193373801 4.09846750596316 0.00765876913318519
3367 29.775 38.425 0.0440504166044449 2.77800426427097 4.57354432495277 0.00777310064801704
3377 29.725 38.175 0.043797746418099 2.71734693386295 4.70617434048898 0.00725328423114619
3387 30.175 38.65 0.0429342476594603 2.47953159348231 5.25039681040078 0.00749664092474062
3397 30.15 38 0.04220340513938 2.49666444147653 5.20354908470393 0.00681682061556249
3407 29.425 37.925 0.0440453239599977 2.50012820184106 6.01445907365891 0.00655102329711847
3417 29.875 37.4 0.0421129827237243 2.46188899747682 5.74143732562697 0.00625329891441001
3427 29 36.95 0.0446032679382837 3.51553329652478 5.8614341467264 0.00775653936827249
3437 30.25 37.35 0.0415893856289135 2.99358288035232 5.61385648332629 0.00884574115296879
3447 29.975 38.575 0.0436800154885185 2.92195491286579 5.11351903517303 0.00833105881784814
3457 29.2 38.6 0.0461119301268422 2.93694416454263 4.95518376590073 0.00848315667944911
3467 29.925 38.65 0.0436582828921568 2.6639810194134 5.30867698038327 0.00718486500063822
3477 28.825 37.6 0.0462097401541436 3.27294660622191 6.05021720313645 0.00979566704413472
3487 29.6 37.625 0.0439438405634413 3.69198716557483 5.87339721726659 0.00892094687504022
3497 29.525 37.65 0.0438551588731511 2.8192333927997 4.74773900304404 0.00763197809639903
3507 30.275 38.775 0.0430444768536218 2.81012363994805 4.393978980611 0.00767262379494425
3517 29.875 39.15 0.0444663060163902 2.2439377019553 4.4001748217018 0.00796003451334021
3527 29.35 38.825 0.0459443480613288 3.05966312876736 4.7657296909476 0.00862892581981848
3537 29.825 38.95 0.0443839419934582 2.8901911923271 4.80357772648252 0.00709102108223508
3547 29.2 37.925 0.0453107791630953 2.81206193169573 4.63756954471319 0.00860264485465355
3557 29.65 38.025 0.044350460101501 3.23086080456301 5.21579209511721 0.00996218150561026
3567 29.85 38.15 0.043455571309134 2.80612882355015 4.83867962494114 0.00743366923897689
3577 29.1 38.425 0.0461852463181063 2.83567022783427 4.8983906305266 0.00854489748029935
3587 29.95 38.65 0.043709787866547 3.21016015256688 5.43280632964075 0.00724706569098495
3597 30.1 38.725 0.0437438582786907 3.25655158183134 4.98195461589844 0.008941171027343
3607 29.525 38.9 0.0451586177136419 2.6310522414874 5.23694959166508 0.00736846176692458
3617 29.425 38.5 0.0452919544609263 3.24145820303938 5.29150262212918 0.0082079584168203
3627 29.65 38.4 0.0445401686092824 3.50494156650512 5.50431066505479 0.00817020906406131
3637 29.5 38.2 0.0448192469390456 3.2264928963592 5.19960550771858 0.00892217070028877
3647 29.775 38.2 0.0434461622378299 2.41244104484893 5.52012634563692 0.00721109501523206
3657 30.075 38.4 0.0435578742082056 3.52563869463792 5.76372386747603 0.00997053920303204
3667 30.8 38.525 0.0407083866739155 2.4305744810008 6.61384522936156 0.00602267440831597
3677 30.725 38.725 0.0421652965689265 3.87620948866286 5.87470675754795 0.00986041984168752
3687 29.6 38.6 0.0445416102731276 2.80841227158327 5.6423308513324 0.00745578229093292
3697 30.475 38.725 0.0421488391575724 2.92633927261716 5.82649782657446 0.00689430363857676
3707 29.375 38.3 0.0446200494108147 2.73334115070802 6.40192278808604 0.00666747096648837
3717 29.4 37.8 0.0442310398781482 2.83567022783427 5.99230275500932 0.00764371131276628
3727 30.075 38.675 0.0430815610750885 2.69270143640936 5.86334769170703 0.00647765401955536
3737 29.575 38.6 0.0446096474460053 2.83646132011576 6.24622963197677 0.00781937472464935
3747 29.95 38.825 0.0439424089675978 2.97812537835981 5.81283945796739 0.00823104660480569
3757 29.65 38.475 0.0444734785377487 3.48292538403699 6.19754914338042 0.00800336411887717
3767 29.725 37.825 0.0434449079559787 3.18640944139405 5.22757726892335 0.00720066988787553
3777 29.1 37.775 0.0454756340705838 3.40286455497235 4.94838746073289 0.00807522527572681
3787 29.85 38.55 0.0443232545120395 3.5340831328286 4.73367640504633 0.00857073440935507
3797 29.9 38.225 0.0434859836933104 3.17683926132684 4.88056060252014 0.00751170595617379
3807 29.6 37.975 0.0440220803797395 2.74375748348959 4.88581148287097 0.00790282377337522
3817 29.275 37.575 0.0445069398288019 3.02118587686427 5.74629200396845 0.00810828846210356
3827 29.65 37.675 0.0435749509440619 3.10953867466394 5.35598155911113 0.00802526994072472
3837 29.5 37.825 0.0441134909572902 3.28945479076895 5.60168243957529 0.00700566905720166
3847 29.475 36.95 0.0430587830450207 3.17027459782919 5.61111534230187 0.0070090411280897
3857 29.025 36.95 0.0445447459725798 3.06750963887897 5.24257717011542 0.0082928352807926
3867 29.525 37.075 0.0433567078459434 2.98704467617006 4.68159243124684 0.00838278373927898
3877 29.775 37.9 0.0438663263828512 3.26196024123296 4.43644579388177 0.0100196696564774
3887 29.925 37.825 0.0428053608546253 2.81377108029557 4.66787987892818 0.00689774012555846
3897 30.275 37.65 0.0417603940483851 3.12957357626095 5.31350480693613 0.00760796466036678
3907 29.85 37.775 0.0430572002337009 2.40245600829544 4.7581913176526 0.00812830525107796
3917 29.825 38.2 0.0435163977755128 2.80006868047636 5.57558781539485 0.00779824438748494
3927 29.35 37.375 0.0447249386020883 3.93895730052823 5.99010936931958 0.0106197424898265
3937 30.25 37.925 0.0421328876261856 3.23244767145857 5.64954048505785 0.00748324192115578
3947 29.95 37.9 0.0428231338495683 2.79147052506518 5.68308330903532 0.00813783808023661
3957 29.975 38.325 0.0434623746387332 3.19845716012083 5.25936283554362 0.00836955523403399
3967 30.475 38.425 0.0419365961751981 2.65047165613971 5.00198678475581 0.0073166035634435
3977 30.325 39.125 0.0431943641072897 2.93858067955542 5.06464618958136 0.0075236085978581
3987 30.4 39.1 0.0430795905049241 3.0950746646062 5.61042984778556 0.00844136063984606
3997 30.1 38.425 0.0431279611221895 3.01109061083632 4.98143991128505 0.00788189357053651
4007 30.15 39.45 0.0441703200448038 3.22291475021904 5.47699150058094 0.00836297437685986
4017 30.125 39.8 0.0444541877498921 3.03135325623764 5.77882962154724 0.00756863996182318
4027 30.05 39.225 0.0448157454773087 3.78221207828543 5.31802691384787 0.0101206735011863
4037 29.5 38.425 0.0450008003991325 3.2659863237109 5.54185704319224 0.00839299821810304
4047 29.825 39.325 0.0452181230406546 3.30413493857435 5.45088795401075 0.00946934510544894
4057 28.975 38.85 0.0474325593546969 3.40804101937515 4.90708540576656 0.009667698363606
4067 29.925 39.075 0.0448553794065518 3.40728856785207 5.24960315960486 0.01019072033432
4077 30.6 39.125 0.0425168882889915 3.32665998663324 5.12503908678028 0.00726424110546771
4087 29.975 40.05 0.045275070503156 2.82377724842416 4.68467222398257 0.00766648539818951
4097 29.75 38.625 0.0448513118969701 3.56442536815238 4.67775696850641 0.00916216707244632
4107 28.875 38.275 0.0469066635215813 3.05662374491018 4.67391835834911 0.00917528252528224
4117 29.35 38.65 0.0461923646779328 3.23086080456301 3.84674354453685 0.0102881860991825
4127 29.125 39.3 0.04690366073958 2.95424509859357 4.86852791946027 0.00663558230058566
4137 29.975 39.625 0.0448564559828959 3.34731043966453 5.94283667050574 0.00814069950878341
4147 29.575 39.075 0.0454616193069362 3.3808472614314 6.11592079571729 0.00854082094912119
4157 30 38.3 0.043431677763891 3.24234799378791 5.09499503031891 0.00840902466278956
4167 29.45 38.45 0.0452974024273837 3.44145169130554 5.56983634616646 0.00879041776270232
4177 28.975 38.1 0.045859039068704 2.54686836360627 5.9390062192083 0.00767744171422597
4187 30.125 38.5 0.0429429939464426 2.84818880820417 4.90943623062405 0.00667618725791722
4197 29.8 38.125 0.0439208235738011 3.13949203795937 4.65853228784808 0.0087914616297065
